id,predicted_disease,image_to_fetch,image_type,all_symptoms,mapped_disease,mapped_all_symptoms
MM-2,glucose-6-phosphate dehydrogenase deficiency,MM-2-a.jpeg,Pathology / histopathology slide,"['anemia', 'cervical lymphadenopathy', 'conjunctival pallor', 'dark urine', 'dark-colored urine', 'fatigue', 'fever', 'hemolysis', 'lymphadenopathy', 'pharyngeal erythema', 'scleral icterus', 'sore throat', 'spleen enlargement', 'thrombocytopenia']",glucose-6-phosphate dehydrogenase,"['sore throat', 'lymphadenopathy nos', 'scleral icterus', 'cervical lymphadenopathy', 'spleen enlargement', 'hemolysis', 'urine', 'dark urine', 'fatigue', 'fever', 'thrombocytopenia 3', 'conjunctival pallor', 'pharyngeal erythema', 'anemia']"
MM-8,"buerger
```",MM-8-a.jpeg,Clinical photograph (externally captured patient image),"['+2 bilaterally.', 'abdominal midline palpation', 'abdominal pulsatile mass', 'bruising', 'diabetes mellitus', 'discoloration', 'hypertension', 'non-tender', 'pain', 'painful discoloration of toes', 'popliteal and pedal pulses', 'pulsatile mass', 'smoking history', 'swelling', 'type 2 diabetes mellitus']",buerger,"['non-tender', 'swelling', 'hypertension', 'painful', 'pain', 'mass', 'smoking history', 'popliteal', 'diabetes', 'gum discoloration', 'abdominal pulsatile mass', 'diabetes mellitus', 'abdominal', 'bruising']"
MM-22,mitral stenosis,MM-22-a.jpeg,Medical document or report,"['delayed diastolic murmur heard best at the cardiac apex', 'fatigue', 'heart murmur', 'orthopnea', 'paroxysmal nocturnal dyspnea', 'progressive shortness of breath', 'rumbling']",mitral stenosis,"['cardiac apex', 'nocturnal dyspnea', 'rumbling', 'heart murmur', 'orthopnea', 'fatigue', 'shortness of breath']"
MM-25,huntington disease,MM-25-a.jpeg,CT scan,"['abnormal blood vessels', 'abnormal brain function', 'abnormal brain structures', 'abnormal brain tissue', 'depressive symptoms', 'facial grimacing', 'flat affect', 'hypertension', 'increased intracranial pressure', 'irritability', 'sudden jerky movements of upper limbs', 'underperformance at work', 'withdrawal']",huntington disease,"['depressive symptoms', 'jerky movements', 'hypertension', 'increased', 'withdrawal', 'flat affect', 'facial grimacing', 'abnormal', 'performance at work', 'irritability', 'abnormal blood vessels']"
MM-29,megaloblastic anemia,MM-29-a.jpeg,Pathology / histopathology slide,"['anemia', 'fatigue', 'impaired proprioception', 'impaired vibratory sensation', 'lemon-tinted skin', 'leukopenia', 'loss of tongue papillae', 'memory issues', 'thrombocytopenia']",anemia,"['lemon', 'memory', 'impaired vibratory sensation', 'leukopenias', 'tongue papillae', 'fatigue', 'thrombocytopenia 3', 'impaired proprioception', 'anemia']"
MM-45,straddle pelvic fracture,MM-45-a.jpeg,X-ray,"['pain with manual compression', 'pelvic bruise', 'severe pelvic pain', 'straddle pelvic fracture', 'trauma history']",pelvic,"['pelvic', 'pelvic pain', 'straddle pelvic fracture', 'compression', 'history']"
MM-47,hypoparathyroidism,MM-47-a.jpeg,ECG,"['and hypokalemia', 'hyperphosphatemia', 'hypocalcemia', 'hypokalemia', 'hypophosphatemia']",rare hypoparathyroidism,"['hypocalcemia', 'hypophosphatemias', 'hypokalemias', 'hyperphosphatemia', 'hypokalemia']"
MM-54,scurvy,MM-54-a.jpeg,Clinical photograph (externally captured patient image),"['hyperkeratosis', 'hyperpigmentation', 'inflamed gums', 'poor dental health', 'skin lesions', 'skin manifestations', 'telangiectasia', 'thin', 'unkempt appearance']",scurvy,"['unkempt appearance', 'skin manifestations', 'hyperkeratosis', 'dental health', 'telangiectasia', 'hyperpigmentation lid', 'inflamed gums', 'lesions']"
MM-79,marfan syndrome,MM-79-a.jpeg,X-ray,"['equinovarus foot deformities', 'family history of progressive condition', 'history of ambulatory assistive devices', 'impaired balance', 'left lumbar paraspinal prominence', 'pelvic obliquity', 'right thoracic paraspinal prominence', 'scoliosis', 'wheelchair-bound since age 12']",marfan syndrome,"['pelvic', 'scoliosis', 'wheelchair-bound', 'lumbar', 'impaired balance', 'thoracic', 'assistive devices', 'foot', 'condition']"
MM-83,infective endocarditis,MM-83-a.jpeg,Clinical photograph (externally captured patient image),"['distant heart sounds', 'fever', 'moderate distress', 'murmur', 'nasal congestion', 'no additional information is required.', 'tachycardia']",infective endocarditides,"['moderate', 'murmur', 'congestion', 'fever', 'tachycardia', 'distant heart sounds', 'information']"
MM-104,stent thrombosis,MM-104-a.jpeg,Medical document or report,"['persistent severe chest pain', 'prolonged pr interval', 'shortness of breath', 'st-segment elevation', 'sudden-onset chest pain', 't-wave inversion', 'tachycardia']",stent thrombosis,"['inversions', 'elevation', 'chest', 'tachycardia', 'severe', 'prolonged pr interval', 'shortness of breath']"
MM-115,sepsis,MM-115-a.jpeg,Clinical photograph (externally captured patient image),"['bruising', 'coarse breath sounds', 'discoloration', 'disheveled appearance', 'fever', 'hypotension', 'non-tender abdomen', 'pain', 'redness', 'skin discolor', 'skin discoloration', 'swelling', 'tachypnea', 'vomit on clothes', 'warmth']",asepsis,"['swelling', 'tachypnea', 'pain', 'coarse breath sounds', 'gum discoloration', 'warmth', 'disheveled appearance', 'hypotensin', 'fever', 'redness', 'tender abdomen', 'vomit', 'skin', 'bruising']"
MM-118,spinal cord injury,MM-118-a.jpeg,CT scan,"['26-year-old adult', 'all other extremities 0/5 strength', 'deltoid muscle 4/5 strength', 'intact bulbocavernosus reflex', 'lacks perianal sensation', 'lacks rectal tone', 'loss of perianal sensation', 'paraplegia', 'quadriplegia', 'spinal cord injury']",spinal cord,"['year', 'extremities', 'paraplegias', 'deltoid muscle', 'intact', 'spinal cord injury', 'sensation', 'quadriplegics', 'rectal']"
MM-127,urticaria,MM-127-a.jpeg,Clinical photograph (externally captured patient image),"['cytotoxic t-cell destruction', 'hyperpermeability of the superficial dermal microvasculature', 'ige-independent mast cell activation in subcut', 'injection site', 'itchy', 'itchy rash', 'perivascular cutaneous polymorphonuclear infiltration', 'photochemical derivative of an antibiotic', 'rash', 'recent antibiotic exposure', 'red spots', 'skin findings', 'tissue damage']",urticaria,"['skin findings', 'infiltration', 'mast', 'destruction', 'spots', 'rash', 'itchy', 'itchy rash', 'antibiotics', 'tissue damage', 'injection', 'microvasculature', 'exposure']"
MM-130,pancreatic pseudocyst,MM-130-a.jpeg,CT scan,"['abdominal fullness', 'alcohol consumption', 'chronic abdominal pain', 'dysplastic cells', 'elevated serum creatinine', 'hematuria', 'large tender abdominal mass']",pancreatic,"['abdominal fullness', 'alcohol consumption', 'no hematuria', 'serum creatinine', 'abdominal']"
